SMILES,IC50_nM
CC1=CC(=C(C=C1S(=O)(=O)N)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C)OC,0.1
CCS(=O)(=O)NC1=CC(=C(C=C1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C,0.32
CNC(=O)C1CCN(CC1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,0.4
CC1=CC(=C(C=C1C(=O)N)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C)OC,0.42
CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,0.69
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCCCC6,0.7
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC(C4)C#N)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,0.9
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(C=CC(=C3)C(=O)N)OC,1.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3CN(CCO3)C4=CN=C(C=C4)C5CC5,1.0
CN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C4(CC4)C(F)(F)F,1.0
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC5CC5C4)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,1.1
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN(CC6)CC(F)(F)F,1.2
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)(C)C#N,1.4
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(C=CC(=C3)S(=O)(=O)N)OC,1.5
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)C(F)(F)F,1.5
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)F,1.7
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)C(F)F,1.7
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)C#N,1.7
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN(CC6)CC7CC7,1.8
CC1(CN(C1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7)OC,1.8
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN(CC6)C7CC7,1.8
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)N(C(=O)C3=CC=CC=N3)N4CC5CCCN5C(C4)N6C=C(N=C6)C7CC7,1.8
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CC(=CN=C4)N(C)C,1.9
CC1(CN(C1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7)C#N,1.9
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCCOCC6,1.9
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(C6)OC,1.9
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)N7CCOCC7,1.9
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCC5(CC4)COC5)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,1.9
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,2.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3CN(CCO3)C,2.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC=CC4=C3N=CC=C4,2.0
CCN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C(F)(F)F,2.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CCOC,2.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CC4CC4,2.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)COC,2.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC(C6)(C)OC,2.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(C6)(F)F,2.1
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC7(CC6)COC7,2.1
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC7CC7C6,2.2
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC(C4)C(F)F)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,2.2
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCC(CC4)C#N)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,2.2
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)(C)OC,2.2
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC(C4)N5CCOCC5)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,2.3
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN7C(C6)COC7=O,2.3
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)C(=O)NC,2.3
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCC(CC6)OC,2.3
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(C=CC(=C3)C(=O)NC)OC,2.4
CC(C)N1C=NC=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,2.4
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC7CN(CC7C6)C,2.4
C1CC1CN2CCN(CC2)C3=CN=C(C=C3N4C=C(N=C4)C5CC5)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,2.5
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCC(CC4)F)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,2.5
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CC7(C6)CCOCC7,2.6
C1CC2CN(CCN2C1)C3=CN=C(C=C3N4C=C(N=C4)C5CC5)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,2.7
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCN5C(C4)COC5=O)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,2.7
COC1CCN(C1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,2.8
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCN(CC4)C5CC5)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,2.8
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC(C4)(F)F)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,2.8
C1CC1C2=CN(C=N2)C3=CC(=NC=C3)C(=O)NC4=CC=CC(=C4)C5=NN=CN5C6CC6,2.87
C1CC1C2=CN(C=N2)C3=CC(=NC=C3)C(=O)NC4=CC=CC(=C4)C5=NN=CN5C6CC6,2.87
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCN(CC4)CC(F)(F)F)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,2.9
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,3.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,3.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CC(F)(F)F,3.0
CC1=CC(=C(N=C1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C(F)(F)F,3.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=NC=CN=C4,3.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC=CC=C3OC,3.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=NN=CC=C4,3.0
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C4C(=CC=C3)N=CC=N4,3.0
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CCC(CC4)C(F)(F)F)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,3.2
COC1CCN(CC1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,3.2
C1CN(CCOC1)C2=CN=C(C=C2N3C=C(N=C3)C4CC4)C(=O)NC5=CSC(=N5)C6=NN=CN6C7CC7,3.8
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,3.9
CC1=CC(=C(C=C1S(=O)(=O)C)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C)OC,4.0
CC1=CN(C=N1)C2=CC3=C(C=C2)OCCCCN4C=NN=C4C5=NC(=CC=C5)NC3=O,4.0
CC1CCCOC2=CC=CC=C2C(=O)NC3=CC=CC(=N3)C4=NN=CN14,4.0
CCN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C(C)C,4.1
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C(F)(F)F)F,4.3
C1CC1C2=CN(C=N2)C3=CC(=NC=C3N4CC5(C4)CCOCC5)C(=O)NC6=CSC(=N6)C7=NN=CN7C8CC8,4.5
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=C(C=CC(=C3)S(=O)(=O)C)OC,5.0
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,5.0
CN1C=C(C=N1)C2=CC3=C(C=C2)OCCCCN4C=NN=C4C5=NC(=CC=C5)NC3=O,5.0
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,5.0
CN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C4CCOC4,5.0
CN1C=C(C(=N1)OC)C(=O)NC2=CC=CC(=N2)C3=NN=CN3C4CCC4(F)F,5.0
CC(C)OC1=CC2=C(CN(C2=O)C3=CC=CC(=N3)C4=NN=CN4C(C)CO)C=C1,5.012
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,5.012
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CN=CC=C4,5.3
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,5.5
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CC4=CC=CC=C4C=N3,5.5
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=NC=C4C=CC(=CC4=C3)Br,5.5
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=NC=C4C=CC(=CC4=C3)N5CCCCC5,5.5
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=NC=C4C=CC(=CC4=C3)N5C=C(N=C5)C6CC6,5.5
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C4=CN=CC(=C4)C5CC5,5.6
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,5.9
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,5.9
CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,6.0
CN(C)CCN1C=C(C=N1)C2=CC3=C(C=C2)OCCCCN4C=NN=C4C5=NC(=CC=C5)NC3=O,6.0
CC(C)N1C=C(C(=O)C2=CC=CC=C21)C(=O)NC3=CC=C(C=C3)OC4=CN=NC5=CC(=C(C=C54)OC)OC,6.0
CC(C(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,6.0
CC(C)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)C,6.0
CC(C)N1C=C(C(=O)C2=CC=CC=C21)C(=O)NC3=CC=C(C=C3)OC4=C5C=C(C(=CC5=NC=C4)OC)OC,6.0
CC(C)(C)C1=CC=C(C=C1)C(=O)NC2=CN3C=C(C=CC3=N2)C4=CNN=C4,6.3
