SMILES,pIC50,canonical_smiles
C(C)(C)N1C(=NN=N1)C=2N=C(NC(=O)C3=C(OC)C=C4C(=C3)CN(C)CC4)C=CC2,8.90309,COc1cc2c(cc1C(=O)Nc1cccc(-c3nnnn3C(C)C)n1)CN(C)CC2
C(C)(C)N1C(=NN=C1)C=2N=C(NC(NC3=CC(C(=O)N4[C@H](C)CCCC4)=CC=N3)=O)C=CC2,7.30103,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2cc(C(=O)N3CCCC[C@H]3C)ccn2)n1
CCOC(=O)C1=CC=C(C=C1)C2=CC=C(O2)C=C3C(=O)N(C(=S)S3)C(CC(=O)O)C(=O)C,3.0969100130080562,CCOC(=O)c1ccc(-c2ccc(C=C3SC(=S)N(C(CC(=O)O)C(C)=O)C3=O)o2)cc1
CC1=CC(=NC(=N1)NC2=CC=C(C=C2)N3CCOCC3)NC4=CC5=C(C=C4)OCO5,1.942143791258112,Cc1cc(Nc2ccc3c(c2)OCO3)nc(Nc2ccc(N3CCOCC3)cc2)n1
N(C(=O)[C@H]1[C@@H](C1)C2=CC=CC=C2)C=3C=C(N4C(N3)=CC(C)=N4)C5=CC=CC=C5,7.0,Cc1cc2nc(NC(=O)[C@@H]3C[C@H]3c3ccccc3)cc(-c3ccccc3)n2n1
O=C1C=2C(=CC(C)=C(C2)N3C=C(N=C3)C4CC4)N=CN1C=5N=C(C=CC5)C=6OC(C)=NN6,6.0,Cc1nnc(-c2cccc(-n3cnc4cc(C)c(-n5cnc(C6CC6)c5)cc4c3=O)n2)o1
C(C)(C)N1C(=NN=C1)C=2N=C(NC(NC3=CC=CC=C3)=O)C=CC2,7.30103,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ccccc2)n1
C(C)(C)N1C(=NN=C1)C=2N=C(NC(=O)C=3NC(=CC3)C4=CC(C)=CC=C4)C=CC2,8.23657,Cc1cccc(-c2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]2)c1
C[C@@H]1N2C(C=3NC(=NC(=O)C=4C(OCCC1)=CC(F)=C(C4)C=5C=CN=CC5)C=CC3)=NN=C2,7.0,C[C@H]1CCCOc2cc(F)c(-c3ccncc3)cc2C(=O)N=C2C=CC=C(N2)c2nncn21
O=C1N(C=2N=C(C=CC2)C=3N(C(C)C)C=NN3)CCN1C4=CC(=CC=C4)C5=CC=C(S(C)(=O)=O)C=C5,7.52288,CC(C)n1cnnc1-c1cccc(N2CCN(c3cccc(-c4ccc(S(C)(=O)=O)cc4)c3)C2=O)n1
C(NC=1N=C(C=CC1)C=2N(C(C)C)C=NN2)(=O)C3=CC=4N=C(N5CC6(C5)COC6)C=CC4C=C3,6.0,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccc3ccc(N4CC5(COC5)C4)nc3c2)n1
C(C)(C)N1C(=NN=C1)C=2N=C(C=CC2)C=3OC(=CN3)C4=CC(=CC=C4)N5CC(O)CC5,7.30103,CC(C)n1cnnc1-c1cccc(-c2ncc(-c3cccc(N4CCC(O)C4)c3)o2)n1
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CC=C2)NC(=O)C3=CN(N=C3OC)CC4CC4,5.698970004336019,COc1nn(CC2CC2)cc1C(=O)Nc1cccc(-c2nncn2C(C)C(F)(F)F)n1
CC(C(F)(F)F)N1C=NN=C1C2=NC(=CS2)NC(=O)C3=NC=C(C(=C3)N4C=C(N=C4)C5CC5)N6CCN(CC6)CC7CC7,5.7447274948966935,CC(n1cnnc1-c1nc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(N3CCN(CC4CC4)CC3)cn2)cs1)C(F)(F)F
CC=1C(=CC(C(NC2=CC(=CC=C2)C=3N(C(C)C)N=NN3)=O)=C(F)C1)N4C=C(N=C4)C5CC5,7.25964,Cc1cc(F)c(C(=O)Nc2cccc(-c3nnnn3C(C)C)c2)cc1-n1cnc(C2CC2)c1
C(C)(C)N1C(=NN=N1)C=2N=C(NC(=O)C3=CC(=C(C)C=N3)C4=CN(C(F)(F)F)N=C4)C=CC2,7.25964,Cc1cnc(C(=O)Nc2cccc(-c3nnnn3C(C)C)n2)cc1-c1cnn(C(F)(F)F)c1
CC(C)N1C2=NC=NC(=C2N=C1NC3=CC(=CC=C3)N(C)C)NC4CCN(CC4)CC5=CC=CC=C5,1.7259576699501689,CC(C)n1c(Nc2cccc(N(C)C)c2)nc2c(NC3CCN(Cc4ccccc4)CC3)ncnc21
CN1C=2C(C=C(S(=O)(=O)C3=C(F)C=C(F)C=C3)C1=O)=CN=C(NC=4C=C5C(=CC4)NC=C5)N2,5.0,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@H](NC(C)=O)[C@H]2O)[H])=CC=CC8,6.11351,CC(=O)N[C@H]1C[C@H]2O[C@@](C)([C@@H]1O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
O[C@@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@@](C1)(O[C@@H](C)[C@@H]2O)[H])=CC=C(O)C8,5.38722,C[C@@H]1O[C@@H]2C[C@](O)([C@H]1O)n1c3ccccc3c3c4c(c5c6cc(O)ccc6n2c5c31)C(=O)NC4
C[C@H]1N2C(C=3NC(=NC(=O)C=4C(OCCC1)=NC=C(Br)C4)C=CC3)=NN=C2,5.25964,C[C@@H]1CCCOc2ncc(Br)cc2C(=O)N=C2C=CC=C(N2)c2nncn21
C(C)(C)N1C(=NN=C1)C=2N=C(NC(=O)C=3C=C4C(=CN3)N=C(N(C)C)S4)C=CC2,8.0,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3sc(N(C)C)nc3cn2)n1
C1CC1NC(=O)C2=CC=C(C=C2)C3=NC(=C4C(=N3)N(C=N4)C5=CC=CC=C5)NCC6=CC(=CC=C6)C(F)(F)F,1.7018458486768142,O=C(NC1CC1)c1ccc(-c2nc(NCc3cccc(C(F)(F)F)c3)c3ncn(-c4ccccc4)c3n2)cc1
CC=1C2=C(N=CN=C2NC1)N3CCC(NC(=O)C4=CC(OCCN5CCOCC5)=CC=C4)CC3.Cl,5.5,Cc1c[nH]c2ncnc(N3CCC(NC(=O)c4cccc(OCCN5CCOCC5)c4)CC3)c12.Cl
O=C1C=2C(CN1C=3N=C(C=CC3)C=4N(C(C)C)C=NN4)=CC=C(C2)C5=CC=C(C=C5)C=6NN=NN6,8.10237,CC(C)n1cnnc1-c1cccc(N2Cc3ccc(-c4ccc(-c5nnn[nH]5)cc4)cc3C2=O)n1
C(NC=1N=C(C=CC1)C=2N([C@@H](CO)C)N=NN2)(=O)C=3C=C4C(=CC3OC)CCN(C(C(C)(C)O)=O)C4,8.90309,COc1cc2c(cc1C(=O)Nc1cccc(-c3nnnn3[C@H](C)CO)n1)CN(C(=O)C(C)(C)O)CC2
C(NC=1N=C(C=CC1)C=2N(C(C)C)C=NN2)(=O)C=3NC4=C(C=CC=C4C3)C=5C=CSC5,6.81531,CC(C)n1cnnc1-c1cccc(NC(=O)c2cc3cccc(-c4ccsc4)c3[nH]2)n1
O=C1C=2C(=CC(F)=C(C2)C=3C=C(C)N=CC3)OCCCCN4C(C=5NC(=N1)C=CC5)=NN=C4,7.0,Cc1cc(-c2cc3c(cc2F)OCCCCn2cnnc2C2=CC=CC(=NC3=O)N2)ccn1
C(NC1=C2C(C=3N([C@@H](C)CO2)C=NN3)=CC=C1)(=O)C=4C=C(C(=CN4)N5CCOCC5)N6C=C(N=C6)C7CC7,9.22185,C[C@H]1COc2c(NC(=O)c3cc(-n4cnc(C5CC5)c4)c(N4CCOCC4)cn3)cccc2-c2nncn21
CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ncc3ccccc3n2)n1,7.18,CC(C)n1cnnc1-c1cccc(NC(=O)Nc2ncc3ccccc3n2)n1
O=C1N(C=2N=C(C=CC2)C=3N(C(C)C)C=NN3)CCN1C4=CC=C(S(=O)(=O)N5CCOCC5)C=C4,7.0,CC(C)n1cnnc1-c1cccc(N2CCN(c3ccc(S(=O)(=O)N4CCOCC4)cc3)C2=O)n1
