SMILES,pIC50
O[C@H]1[C@H](N2C=3C(N=C2)=C(N)N=CN3)O[C@H](COP(OP(OP(=O)(O)O)(=O)O)(=O)O)[C@H]1O,5.6138
S(C)C1=C2C(=NC(N)=N1)N=CN2,4.87615
N(C1=C2C(N=CN2)=NC=N1)C3=CC=CC=C3,5.0
C12=C(N=CN=C1N=CN2)N3CCCCC3,4.76955
C(C)(=O)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=CC3NC1=O,4.82391
N(C1=C2C(N=CN2)=NC=N1)C3=CC(Cl)=CC=C3,5.0
N(CCC)(CCC)C1=C2C(N=CN2)=NC=N1,4.58838
N(C1=NC2=C(C=N1)C=CC=C2)C3=CC=CC=C3,5.0
C[C@@]12C=3C(=CC(C(C)C)=C(C(=NO)C)C3)CC[C@]1([C@@](C(OC)=O)(C)CCC2)[H],4.82974
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.61261
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.64207
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.4318
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,5.85387
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.70115
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.37675
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.46852
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.96658
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,8.08778
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.37675
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.72584
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,7.88273
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,9.16115
C[C@]12N3C=4C5=C(C6=C(C4C=7C3=CC=CC7)CNC6=O)C=8C(N5[C@](O1)(C[C@@H](NC)[C@H]2OC)[H])=CC=CC8,8.20066
N(C1=C2C(N=CN2)=NC=N1)C3=CC=C(F)C=C3,5.0
O=C1C2=C(/C(/CCN1)=C\3/C(=O)N=C(N)N3)C=C(Br)N2,6.82391
O=C1C2=C(C(CCN1)=C3C(=O)N=C(N)N3)C=C(Br)N2,7.65999
C(C)(=O)C1=C2C=3C(C(=O)C=4C2=CC=CC4)=CC=C(C)C3NC1=O,4.45593
